thumbnail|part_num|part_cat_id|name
https://m.rebrickable.com/media/parts/elements/6096158.jpg|10124|13|Arm Giant, Right
https://m.rebrickable.com/media/parts/elements/6093854.jpg|10124pr0001|13|Arm Giant, Right with Blue Darkseid Print
https://m.rebrickable.com/media/parts/elements/6192142.jpg|10126|13|Hand Hulk - Right
https://m.rebrickable.com/media/parts/elements/6192143.jpg|10127|13|Hand Hulk - Left
|10127stk01|58|Sticker for Set 10127 - Sheet 1, Primarily Eastern Teams (47852/4210596)
|10127stk02|58|Sticker for Set 10127 - Sheet 2, Primarily Western Teams (47851/4210595)
|10127stk03|58|Sticker for Set 10127 - Sheet 3, All 30 Teams and Numbers 1-9 (47853/4210598)
https://m.rebrickable.com/media/parts/ldraw/-1/10128.png|10128|24|Hulk Body [Plain]
https://m.rebrickable.com/media/parts/elements/6016965.jpg|10128pr0001|13|Hulk Body with Dark Tan Pants Print
https://m.rebrickable.com/media/parts/elements/6069191.jpg|10128pr0002|13|Hulk Body with Dark Purple Pants Print
|10129stk01|58|Sticker for Set 10129 - (48074/4214068)
|10134stk01|58|Sticker for Set 10134 - (48981/4221407)
|10144stk01|58|Sticker for Set 10144 - (53390/4269558)
https://m.rebrickable.com/media/parts/elements/6096160.jpg|10154|13|Arm Giant, Left
https://m.rebrickable.com/media/parts/elements/6093856.jpg|10154pr0001|13|Arm Giant, Left with Blue Darkseid Print
https://m.rebrickable.com/media/parts/elements/6212189.jpg|10154pr0006|13|Arm Giant, Left with Killow print
|10159stk01|58|Sticker for Set 10159 - (4264102)
|10164|24|Minifig Cap, Santa [Plain]
https://m.rebrickable.com/media/parts/elements/6006765.jpg|10164pr0001|27|Minifig Santa Hat with Red Top Print
https://m.rebrickable.com/media/parts/elements/6018281.jpg|10165c01|27|Minifig Helmet Underwater Deep Diver with Trans-Clear Glass
|10166|27|Minifig Hair Short Tousled with Headphones Print [Plain]
https://m.rebrickable.com/media/parts/elements/6006770.jpg|10166pr0001|27|Minifig Hair Short Tousled with Silver Headphones Print
https://m.rebrickable.com/media/parts/elements/6081636.jpg|10166pr0003|27|Minifig Hair Short Tousled with Black Headphones Print
https://m.rebrickable.com/media/parts/elements/6006775.jpg|10168pb01|27|Minifig Hat - Cowboy with Star and Medium Dark Flesh Braid Print
https://m.rebrickable.com/media/parts/elements/6116487.jpg|10169|27|Minifig Bag with Handle
https://m.rebrickable.com/media/parts/elements/6006758.jpg|10170|27|Pretzel
https://m.rebrickable.com/media/parts/elements/6103407.jpg|10172|27|Minifig Trophy Cup Small
https://m.rebrickable.com/media/parts/elements/6004714.jpg|10173|27|Minifig Head Cover - Ghost Shroud with Open Mouth
|10177|13|RIGHT MINI FIGURE ROBOT LEG
https://m.rebrickable.com/media/parts/elements/6001697.jpg|10178|33|Rock 1 x 2 Crystal Stepped
https://m.rebrickable.com/media/parts/elements/6005233.jpg|10178pr0001a|33|Rock Stepped with Dark Green Swamp Gas Print
https://m.rebrickable.com/media/parts/elements/6117524.jpg|10178pr0001b|33|MOONSTONE NO 1
https://m.rebrickable.com/media/parts/elements/6022347.jpg|10178pr0002|33|Rock Stepped with Gold Egyptian Eye of Horus Print
https://m.rebrickable.com/media/parts/elements/6006470.jpg|10178pr0003|33|Rock Stepped with Black Wolf Print [aka Moonstone]
https://m.rebrickable.com/media/parts/elements/6006656.jpg|10178pr0004|33|Rock Stepped with Black Bat Print
https://m.rebrickable.com/media/parts/elements/6009035.jpg|10178pr0005|33|Rock Stepped with Black Zombie Print
https://m.rebrickable.com/media/parts/elements/6005776.jpg|10178pr0006|33|Rock Stepped with White Lightning Print
https://m.rebrickable.com/media/parts/elements/6008325.jpg|10178pr0007|33|Rock 1 x 2 Crystal Stepped with White Ghost Moonstone Print
|10179cert|17|Paper, Certificate of Authenticity for Set 10179 Limited Edition
https://m.rebrickable.com/media/parts/elements/6122849.jpg|10183|27|Minifig Wings Fairy
